249 2291 
27 62 1 
27 125 1 
27 17 1 
27 120 1 
27 59 1 
24 68 1 
24 218 1 
24 231 1 
24 223 1 
24 229 1 
24 8 1 
24 115 1 
24 239 1 
24 167 1 
24 130 1 
24 113 1 
24 109 1 
24 206 1 
24 247 1 
226 67 1 
226 73 1 
226 6 1 
226 166 1 
226 92 1 
226 64 1 
226 21 1 
226 212 1 
226 235 1 
226 187 1 
226 88 1 
158 61 1 
158 150 1 
158 181 1 
158 141 1 
158 160 1 
158 221 1 
158 198 1 
158 135 1 
158 164 1 
158 199 1 
179 209 1 
179 145 1 
179 39 1 
179 103 1 
179 178 1 
179 173 1 
179 80 1 
170 68 1 
170 145 1 
170 100 1 
170 18 1 
170 90 1 
170 191 1 
170 245 1 
170 153 1 
170 105 1 
104 20 1 
104 210 1 
104 40 1 
104 113 1 
104 79 1 
104 202 1 
104 235 1 
104 55 1 
104 247 1 
104 196 1 
68 112 1 
68 215 1 
68 4 1 
68 118 1 
68 7 1 
68 180 1 
68 175 1 
68 188 1 
68 125 1 
68 105 1 
65 209 1 
65 66 1 
65 52 1 
65 119 1 
65 11 1 
190 124 1 
190 154 1 
190 199 1 
166 182 1 
166 159 1 
166 228 1 
166 126 1 
166 163 1 
166 177 1 
166 149 1 
166 236 1 
166 77 1 
166 99 1 
166 85 1 
50 47 1 
50 122 1 
50 31 1 
50 75 1 
50 30 1 
50 138 1 
50 238 1 
112 10 1 
112 76 1 
112 226 1 
112 71 1 
112 171 1 
112 191 1 
112 2 1 
112 99 1 
112 243 1 
112 123 1 
112 169 1 
112 0 1 
112 14 1 
112 238 1 
22 112 1 
22 122 1 
22 218 1 
22 25 1 
22 175 1 
22 86 1 
22 235 1 
22 98 1 
22 23 1 
22 53 1 
22 248 1 
22 87 1 
22 234 1 
22 213 1 
22 81 1 
124 190 1 
124 145 1 
124 118 1 
124 56 1 
124 62 1 
124 198 1 
124 11 1 
215 90 1 
215 77 1 
215 202 1 
215 169 1 
215 96 1 
215 17 1 
122 47 1 
122 31 1 
122 197 1 
122 121 1 
122 194 1 
122 243 1 
122 232 1 
122 152 1 
71 214 1 
71 95 1 
71 222 1 
71 132 1 
71 114 1 
71 171 1 
71 225 1 
71 212 1 
71 106 1 
71 183 1 
71 155 1 
71 157 1 
209 95 1 
209 147 1 
209 4 1 
209 172 1 
209 194 1 
209 149 1 
209 52 1 
209 63 1 
209 154 1 
209 187 1 
209 156 1 
209 80 1 
209 32 1 
209 234 1 
145 110 1 
145 184 1 
145 159 1 
145 239 1 
145 244 1 
145 119 1 
145 169 1 
145 206 1 
145 53 1 
145 0 1 
31 166 1 
31 66 1 
31 101 1 
31 46 1 
31 62 1 
31 86 1 
31 154 1 
31 187 1 
31 162 1 
95 27 1 
95 158 1 
95 50 1 
95 112 1 
95 168 1 
95 8 1 
95 42 1 
95 142 1 
95 173 1 
95 72 1 
95 54 1 
95 3 1 
93 68 1 
93 39 1 
93 64 1 
93 86 1 
93 165 1 
93 80 1 
93 200 1 
66 218 1 
66 174 1 
66 14 1 
66 238 1 
147 151 1 
147 190 1 
147 20 1 
147 51 1 
147 207 1 
147 8 1 
147 189 1 
147 171 1 
147 134 1 
147 142 1 
147 242 1 
147 125 1 
147 106 1 
147 97 1 
147 15 1 
147 238 1 
139 215 1 
139 8 1 
139 194 1 
139 178 1 
139 225 1 
139 176 1 
139 183 1 
139 1 1 
218 62 1 
218 107 1 
218 146 1 
218 91 1 
39 71 1 
39 205 1 
39 167 1 
39 142 1 
39 130 1 
39 175 1 
39 49 1 
39 192 1 
39 57 1 
39 174 1 
39 155 1 
39 162 1 
231 131 1 
231 201 1 
231 4 1 
231 194 1 
231 40 1 
231 41 1 
231 227 1 
231 238 1 
100 47 1 
100 114 1 
100 207 1 
100 62 1 
100 236 1 
100 111 1 
100 146 1 
100 34 1 
100 91 1 
100 125 1 
100 234 1 
100 200 1 
168 126 1 
168 4 1 
168 78 1 
168 92 1 
168 48 1 
168 146 1 
228 151 1 
228 150 1 
228 166 1 
228 124 1 
228 30 1 
228 138 1 
228 232 1 
228 169 1 
228 125 1 
228 57 1 
228 174 1 
228 13 1 
222 151 1 
222 197 1 
222 101 1 
222 52 1 
222 21 1 
222 107 1 
222 29 1 
222 173 1 
222 99 1 
222 85 1 
222 43 1 
222 123 1 
222 169 1 
222 88 1 
197 185 1 
197 122 1 
197 114 1 
197 8 1 
197 38 1 
197 107 1 
197 130 1 
197 148 1 
197 242 1 
197 87 1 
197 227 1 
197 17 1 
241 223 1 
241 92 1 
241 89 1 
241 43 1 
241 188 1 
241 54 1 
241 59 1 
20 104 1 
20 8 1 
20 78 1 
20 115 1 
20 43 1 
20 98 1 
20 248 1 
20 87 1 
20 32 1 
20 137 1 
132 26 1 
132 139 1 
132 204 1 
132 195 1 
132 77 1 
132 128 1 
132 91 1 
132 133 1 
126 142 1 
126 2 1 
126 77 1 
126 123 1 
126 108 1 
126 152 1 
75 6 1 
75 121 1 
75 30 1 
75 224 1 
75 108 1 
223 95 1 
223 103 1 
223 30 1 
223 239 1 
223 204 1 
223 203 1 
223 220 1 
223 34 1 
223 196 1 
51 211 1 
51 73 1 
51 35 1 
51 161 1 
51 127 1 
51 167 1 
51 29 1 
51 57 1 
51 234 1 
51 213 1 
217 151 1 
217 101 1 
217 78 1 
217 171 1 
217 141 1 
217 169 1 
217 53 1 
217 219 1 
217 199 1 
4 150 1 
4 9 1 
4 239 1 
4 25 1 
4 64 1 
4 116 1 
4 248 1 
4 13 1 
121 185 1 
121 18 1 
121 205 1 
121 64 1 
121 141 1 
121 16 1 
121 153 1 
121 83 1 
121 137 1 
121 15 1 
103 233 1 
103 37 1 
103 215 1 
103 93 1 
103 39 1 
103 172 1 
103 236 1 
103 41 1 
103 119 1 
103 86 1 
103 219 1 
103 157 1 
229 179 1 
229 51 1 
229 60 1 
229 221 1 
229 109 1 
229 155 1 
229 213 1 
101 184 1 
101 6 1 
101 239 1 
101 163 1 
101 210 1 
101 202 1 
101 146 1 
101 116 1 
101 125 1 
101 97 1 
114 27 1 
114 20 1 
114 121 1 
114 160 1 
114 195 1 
114 91 1 
114 43 1 
114 5 1 
207 161 1 
207 104 1 
207 65 1 
207 30 1 
207 130 1 
207 99 1 
207 69 1 
207 108 1 
207 59 1 
8 20 1 
8 127 1 
8 244 1 
8 63 1 
8 89 1 
8 17 1 
8 137 1 
189 93 1 
189 29 1 
189 128 1 
189 198 1 
189 12 1 
189 242 1 
189 32 1 
189 13 1 
189 238 1 
78 51 1 
78 205 1 
78 7 1 
78 181 1 
78 178 1 
78 107 1 
78 245 1 
78 48 1 
78 89 1 
78 216 1 
78 165 1 
78 120 1 
9 131 1 
9 71 1 
9 139 1 
9 107 1 
9 97 1 
9 157 1 
9 59 1 
30 35 1 
30 241 1 
30 206 1 
30 183 1 
30 230 1 
30 143 1 
117 223 1 
117 114 1 
117 25 1 
117 60 1 
117 160 1 
117 142 1 
117 244 1 
117 49 1 
117 202 1 
117 83 1 
117 44 1 
172 131 1 
172 40 1 
172 243 1 
172 212 1 
172 85 1 
172 187 1 
172 0 1 
115 37 1 
115 168 1 
115 127 1 
115 107 1 
115 195 1 
115 128 1 
115 206 1 
115 174 1 
115 213 1 
18 182 1 
18 159 1 
18 22 1 
18 132 1 
18 78 1 
18 134 1 
18 142 1 
18 98 1 
18 206 1 
18 57 1 
239 223 1 
239 163 1 
239 130 1 
239 41 1 
239 99 1 
239 183 1 
239 97 1 
239 14 1 
239 44 1 
42 39 1 
42 36 1 
42 62 1 
42 193 1 
42 99 1 
42 216 1 
42 12 1 
42 116 1 
42 227 1 
42 83 1 
205 211 1 
205 179 1 
205 134 1 
205 53 1 
205 14 1 
205 200 1 
163 237 1 
163 158 1 
163 190 1 
163 50 1 
163 92 1 
163 177 1 
163 210 1 
163 224 1 
163 236 1 
163 111 1 
163 245 1 
163 135 1 
163 144 1 
163 0 1 
163 17 1 
163 59 1 
163 213 1 
163 15 1 
92 93 1 
92 70 1 
92 193 1 
92 206 1 
92 230 1 
92 152 1 
177 150 1 
177 78 1 
177 70 1 
177 36 1 
177 38 1 
177 63 1 
177 202 1 
177 156 1 
177 116 1 
177 133 1 
177 153 1 
177 247 1 
177 213 1 
204 27 1 
204 190 1 
204 21 1 
204 224 1 
204 240 1 
204 176 1 
204 58 1 
204 234 1 
204 157 1 
204 105 1 
204 200 1 
46 47 1 
46 62 1 
46 236 1 
46 191 1 
46 107 1 
46 113 1 
46 119 1 
46 133 1 
46 219 1 
118 35 1 
118 124 1 
118 25 1 
118 142 1 
118 62 1 
118 195 1 
118 140 1 
7 31 1 
7 223 1 
7 171 1 
7 40 1 
7 55 1 
7 230 1 
7 1 1 
171 129 1 
171 231 1 
171 138 1 
171 149 1 
171 107 1 
171 173 1 
171 135 1 
171 169 1 
171 1 1 
171 200 1 
138 215 1 
138 93 1 
138 78 1 
138 9 1 
138 178 1 
138 167 1 
138 89 1 
138 23 1 
138 169 1 
138 57 1 
138 227 1 
138 17 1 
138 32 1 
138 3 1 
90 130 1 
90 193 1 
90 69 1 
90 108 1 
90 183 1 
25 218 1 
25 56 1 
25 180 1 
25 21 1 
25 232 1 
25 206 1 
25 88 1 
25 14 1 
194 179 1 
194 31 1 
194 243 1 
194 74 1 
194 146 1 
194 82 1 
194 116 1 
194 234 1 
181 170 1 
181 130 1 
181 128 1 
181 89 1 
181 144 1 
181 0 1 
181 14 1 
181 83 1 
64 233 1 
64 226 1 
64 236 1 
64 19 1 
64 82 1 
64 88 1 
64 238 1 
149 167 1 
149 2 1 
149 212 1 
149 146 1 
203 61 1 
203 122 1 
203 231 1 
203 189 1 
203 204 1 
203 194 1 
203 149 1 
203 52 1 
203 178 1 
203 220 1 
203 91 1 
203 87 1 
203 96 1 
52 67 1 
52 233 1 
52 102 1 
52 104 1 
52 223 1 
52 239 1 
52 171 1 
52 160 1 
52 134 1 
52 56 1 
52 248 1 
52 153 1 
52 15 1 
60 94 1 
60 185 1 
60 168 1 
60 223 1 
60 103 1 
60 89 1 
60 183 1 
60 155 1 
60 97 1 
60 200 1 
141 26 1 
141 158 1 
141 209 1 
141 204 1 
141 193 1 
141 169 1 
141 87 1 
141 96 1 
160 73 1 
160 93 1 
160 101 1 
160 210 1 
160 216 1 
160 157 1 
127 104 1 
127 65 1 
127 228 1 
127 19 1 
127 63 1 
127 5 1 
127 213 1 
127 13 1 
127 81 1 
127 196 1 
127 208 1 
134 166 1 
134 31 1 
134 113 1 
134 232 1 
134 235 1 
134 116 1 
134 14 1 
134 247 1 
178 46 1 
178 41 1 
178 5 1 
178 83 1 
221 68 1 
221 115 1 
221 46 1 
221 138 1 
221 195 1 
221 79 1 
221 128 1 
221 98 1 
221 234 1 
221 83 1 
221 1 1 
70 226 1 
70 20 1 
70 121 1 
70 118 1 
70 221 1 
70 33 1 
70 79 1 
70 128 1 
70 74 1 
70 135 1 
70 123 1 
70 162 1 
167 233 1 
167 102 1 
167 179 1 
167 50 1 
167 217 1 
167 205 1 
167 111 1 
167 243 1 
167 113 1 
167 165 1 
167 187 1 
167 72 1 
167 192 1 
167 87 1 
167 58 1 
167 97 1 
167 83 1 
167 196 1 
56 39 1 
56 138 1 
56 224 1 
56 2 1 
56 80 1 
56 88 1 
56 58 1 
56 44 1 
56 137 1 
56 200 1 
210 185 1 
210 136 1 
210 214 1 
210 150 1 
210 190 1 
210 124 1 
210 60 1 
210 69 1 
210 87 1 
210 230 1 
210 45 1 
142 76 1 
142 209 1 
142 39 1 
142 239 1 
142 79 1 
142 108 1 
142 133 1 
142 0 1 
180 37 1 
180 104 1 
180 166 1 
180 217 1 
180 103 1 
180 172 1 
180 36 1 
180 193 1 
180 120 1 
180 44 1 
180 213 1 
225 182 1 
225 78 1 
225 149 1 
225 48 1 
225 79 1 
225 188 1 
21 201 1 
21 26 1 
21 150 1 
21 207 1 
21 34 1 
21 235 1 
21 96 1 
21 32 1 
36 182 1 
36 61 1 
36 209 1 
36 163 1 
36 90 1 
36 99 1 
36 89 1 
36 246 1 
36 192 1 
36 155 1 
36 14 1 
36 105 1 
62 73 1 
62 170 1 
62 217 1 
62 77 1 
62 113 1 
62 187 1 
62 96 1 
62 1 1 
244 56 1 
244 180 1 
244 77 1 
244 146 1 
244 242 1 
244 219 1 
244 213 1 
40 237 1 
40 150 1 
40 124 1 
40 231 1 
40 101 1 
40 172 1 
40 107 1 
40 227 1 
40 17 1 
40 219 1 
40 238 1 
224 90 1 
224 16 1 
224 113 1 
224 187 1 
224 69 1 
224 248 1 
224 230 1 
224 105 1 
33 104 1 
33 36 1 
33 146 1 
33 169 1 
33 186 1 
38 190 1 
38 126 1 
38 30 1 
38 203 1 
38 107 1 
38 146 1 
38 96 1 
38 186 1 
38 120 1 
38 1 1 
38 200 1 
38 208 1 
236 26 1 
236 190 1 
236 39 1 
236 30 1 
236 193 1 
236 146 1 
236 135 1 
236 97 1 
191 67 1 
191 110 1 
191 94 1 
191 90 1 
191 160 1 
191 111 1 
191 243 1 
191 63 1 
191 12 1 
191 116 1 
191 183 1 
191 219 1 
191 54 1 
107 22 1 
107 218 1 
107 181 1 
107 0 1 
107 143 1 
2 211 1 
2 102 1 
2 244 1 
2 224 1 
2 79 1 
2 106 1 
2 96 1 
2 81 1 
111 151 1 
111 241 1 
111 229 1 
111 109 1 
111 133 1 
111 17 1 
130 47 1 
130 101 1 
130 149 1 
130 176 1 
130 106 1 
130 152 1 
29 134 1 
29 198 1 
29 144 1 
29 116 1 
41 237 1 
41 66 1 
41 218 1 
41 163 1 
41 21 1 
41 232 1 
41 165 1 
41 133 1 
195 211 1 
195 185 1 
195 222 1 
195 197 1 
195 25 1 
195 2 1 
195 148 1 
195 43 1 
195 156 1 
195 192 1 
19 67 1 
19 94 1 
19 124 1 
19 215 1 
19 71 1 
19 75 1 
19 114 1 
19 79 1 
19 246 1 
19 58 1 
19 81 1 
173 158 1 
173 223 1 
173 172 1 
173 72 1 
173 164 1 
173 17 1 
245 110 1 
245 75 1 
245 229 1 
245 99 1 
245 5 1 
245 13 1 
77 166 1 
77 139 1 
77 99 1 
77 34 1 
77 165 1 
77 72 1 
77 242 1 
77 206 1 
77 80 1 
77 120 1 
77 1 1 
77 11 1 
193 211 1 
193 76 1 
193 129 1 
193 147 1 
193 49 1 
193 74 1 
193 85 1 
193 216 1 
193 109 1 
193 155 1 
193 15 1 
16 166 1 
16 197 1 
16 4 1 
16 64 1 
16 74 1 
16 220 1 
16 133 1 
16 199 1 
16 105 1 
99 211 1 
99 24 1 
99 226 1 
99 145 1 
99 25 1 
99 149 1 
99 176 1 
99 153 1 
99 45 1 
175 159 1 
175 226 1 
175 71 1 
175 205 1 
175 177 1 
175 64 1 
175 69 1 
175 80 1 
175 162 1 
48 6 1 
48 95 1 
48 118 1 
48 181 1 
48 2 1 
48 74 1 
48 43 1 
48 32 1 
48 137 1 
243 151 1 
243 39 1 
243 241 1 
243 239 1 
243 107 1 
243 198 1 
243 187 1 
243 84 1 
113 184 1 
113 50 1 
113 145 1 
113 66 1 
113 245 1 
113 198 1 
113 0 1 
113 15 1 
49 215 1 
49 134 1 
49 62 1 
49 245 1 
49 86 1 
49 154 1 
49 156 1 
49 53 1 
49 230 1 
49 32 1 
63 237 1 
63 182 1 
63 6 1 
63 104 1 
63 114 1 
63 42 1 
63 236 1 
63 49 1 
63 89 1 
63 154 1 
63 164 1 
63 0 1 
63 140 1 
63 152 1 
79 184 1 
79 158 1 
79 68 1 
79 112 1 
79 93 1 
79 160 1 
79 70 1 
79 74 1 
79 108 1 
79 188 1 
79 140 1 
79 120 1 
148 50 1 
148 122 1 
148 130 1 
148 99 1 
148 198 1 
148 220 1 
148 186 1 
128 233 1 
128 71 1 
128 121 1 
128 7 1 
128 33 1 
128 220 1 
128 72 1 
128 162 1 
128 143 1 
198 147 1 
198 20 1 
198 203 1 
198 91 1 
198 219 1 
198 54 1 
240 239 1 
240 127 1 
240 232 1 
240 188 1 
240 84 1 
240 0 1 
240 143 1 
212 94 1 
212 207 1 
212 204 1 
212 225 1 
212 244 1 
212 176 1 
212 235 1 
212 53 1 
212 106 1 
212 230 1 
212 234 1 
176 201 1 
176 130 1 
176 212 1 
176 74 1 
176 119 1 
176 135 1 
176 106 1 
176 234 1 
176 162 1 
74 65 1 
74 18 1 
74 99 1 
74 86 1 
74 235 1 
74 91 1 
74 109 1 
202 104 1 
202 22 1 
202 197 1 
202 207 1 
202 163 1 
202 141 1 
202 77 1 
202 243 1 
202 74 1 
202 97 1 
146 61 1 
146 65 1 
146 30 1 
146 198 1 
146 232 1 
146 89 1 
146 55 1 
85 73 1 
85 218 1 
85 222 1 
85 229 1 
85 115 1 
85 245 1 
85 202 1 
85 116 1 
85 153 1 
85 120 1 
220 237 1 
220 65 1 
220 39 1 
220 223 1 
220 128 1 
220 123 1 
220 164 1 
220 106 1 
220 87 1 
220 174 1 
220 152 1 
34 184 1 
34 129 1 
34 223 1 
34 51 1 
34 203 1 
34 210 1 
34 212 1 
34 43 1 
34 135 1 
34 72 1 
34 227 1 
34 219 1 
34 196 1 
119 27 1 
119 197 1 
119 132 1 
119 103 1 
119 9 1 
119 188 1 
119 96 1 
119 54 1 
119 247 1 
232 131 1 
232 73 1 
232 65 1 
232 190 1 
232 121 1 
232 175 1 
232 212 1 
232 89 1 
232 116 1 
232 227 1 
232 155 1 
232 213 1 
232 208 1 
86 150 1 
86 117 1 
86 107 1 
86 111 1 
86 69 1 
86 54 1 
86 157 1 
86 143 1 
235 211 1 
235 102 1 
235 201 1 
235 170 1 
235 166 1 
235 132 1 
235 223 1 
235 194 1 
235 141 1 
235 88 1 
235 14 1 
235 157 1 
235 81 1 
89 161 1 
89 225 1 
89 82 1 
89 144 1 
89 3 1 
82 61 1 
82 6 1 
82 104 1 
82 114 1 
82 163 1 
82 149 1 
82 128 1 
82 154 1 
82 135 1 
82 246 1 
82 98 1 
82 23 1 
82 57 1 
82 44 1 
82 28 1 
82 15 1 
216 194 1 
216 203 1 
216 244 1 
216 148 1 
216 240 1 
216 133 1 
216 84 1 
154 182 1 
154 222 1 
154 132 1 
154 62 1 
154 188 1 
154 144 1 
154 125 1 
91 24 1 
91 52 1 
91 236 1 
91 176 1 
91 98 1 
91 144 1 
91 97 1 
43 182 1 
43 94 1 
43 214 1 
43 226 1 
43 122 1 
43 30 1 
43 205 1 
43 118 1 
43 40 1 
43 2 1 
43 135 1 
43 206 1 
43 174 1 
43 152 1 
12 22 1 
12 197 1 
12 224 1 
12 19 1 
12 148 1 
12 34 1 
12 43 1 
12 183 1 
12 196 1 
165 73 1 
165 21 1 
165 195 1 
165 175 1 
165 176 1 
165 109 1 
165 59 1 
165 3 1 
135 151 1 
135 65 1 
135 51 1 
135 163 1 
135 160 1 
135 210 1 
135 128 1 
135 144 1 
187 31 1 
187 46 1 
187 62 1 
187 195 1 
187 246 1 
187 234 1 
187 105 1 
123 161 1 
123 27 1 
123 132 1 
123 189 1 
123 7 1 
123 43 1 
123 53 1 
123 213 1 
123 238 1 
55 211 1 
55 233 1 
55 159 1 
55 150 1 
55 68 1 
55 22 1 
55 75 1 
55 217 1 
55 4 1 
55 78 1 
55 41 1 
55 216 1 
55 106 1 
55 162 1 
55 105 1 
246 209 1 
246 75 1 
246 51 1 
246 172 1 
246 163 1 
246 111 1 
246 86 1 
246 135 1 
246 108 1 
246 125 1 
246 11 1 
69 67 1 
69 112 1 
69 23 1 
69 248 1 
69 13 1 
69 15 1 
156 182 1 
156 180 1 
156 99 1 
156 34 1 
156 216 1 
156 106 1 
156 140 1 
156 196 1 
109 51 1 
109 229 1 
109 101 1 
109 62 1 
109 84 1 
72 100 1 
72 239 1 
72 235 1 
72 82 1 
72 248 1 
72 186 1 
72 137 1 
72 200 1 
98 214 1 
98 27 1 
98 24 1 
98 50 1 
98 92 1 
98 69 1 
98 188 1 
98 219 1 
98 14 1 
98 247 1 
98 196 1 
23 170 1 
23 210 1 
23 40 1 
23 111 1 
23 116 1 
23 58 1 
23 199 1 
23 213 1 
242 131 1 
242 76 1 
242 60 1 
242 62 1 
242 63 1 
242 154 1 
242 88 1 
242 227 1 
242 230 1 
242 234 1 
192 197 1 
192 141 1 
192 40 1 
192 49 1 
192 232 1 
192 86 1 
192 72 1 
192 108 1 
192 0 1 
192 153 1 
192 234 1 
192 213 1 
169 237 1 
169 2 1 
169 19 1 
169 193 1 
169 16 1 
169 248 1 
169 196 1 
206 185 1 
206 100 1 
206 223 1 
206 62 1 
206 188 1 
206 219 1 
206 28 1 
206 238 1 
108 94 1 
108 170 1 
108 209 1 
108 51 1 
108 103 1 
108 82 1 
108 55 1 
108 192 1 
108 5 1 
108 186 1 
188 129 1 
188 30 1 
188 232 1 
188 88 1 
188 247 1 
188 157 1 
164 103 1 
164 160 1 
164 29 1 
164 156 1 
164 83 1 
164 13 1 
164 81 1 
144 50 1 
144 71 1 
144 64 1 
144 127 1 
144 62 1 
144 88 1 
144 143 1 
53 129 1 
53 61 1 
53 161 1 
53 62 1 
53 130 1 
53 235 1 
53 98 1 
53 106 1 
53 174 1 
116 37 1 
116 93 1 
116 241 1 
116 195 1 
116 119 1 
116 17 1 
248 161 1 
248 190 1 
248 90 1 
248 173 1 
248 193 1 
248 202 1 
248 227 1 
248 28 1 
133 147 1 
133 39 1 
133 138 1 
133 141 1 
133 240 1 
133 80 1 
133 83 1 
133 1 1 
84 151 1 
84 94 1 
84 71 1 
84 145 1 
84 141 1 
84 80 1 
84 11 1 
125 61 1 
125 168 1 
125 70 1 
125 12 1 
125 0 1 
125 97 1 
125 28 1 
106 233 1 
106 132 1 
106 205 1 
106 111 1 
106 245 1 
106 146 1 
106 34 1 
106 206 1 
106 88 1 
106 17 1 
87 124 1 
87 223 1 
87 118 1 
87 225 1 
87 119 1 
87 227 1 
87 17 1 
87 32 1 
87 54 1 
0 35 1 
0 65 1 
0 95 1 
0 21 1 
0 41 1 
0 19 1 
0 99 1 
0 80 1 
0 88 1 
0 174 1 
0 59 1 
96 204 1 
96 49 1 
96 89 1 
96 109 1 
96 98 1 
96 188 1 
96 234 1 
183 129 1 
183 171 1 
183 21 1 
183 220 1 
183 187 1 
183 174 1 
80 39 1 
80 86 1 
80 72 1 
80 87 1 
80 199 1 
80 44 1 
88 110 1 
88 201 1 
88 150 1 
88 95 1 
88 52 1 
88 16 1 
88 0 1 
88 152 1 
5 67 1 
5 145 1 
5 66 1 
5 30 1 
5 212 1 
5 232 1 
5 91 1 
5 156 1 
5 153 1 
57 139 1 
57 117 1 
57 64 1 
57 203 1 
57 244 1 
57 79 1 
57 246 1 
57 84 1 
57 196 1 
57 11 1 
153 214 1 
153 63 1 
153 154 1 
153 11 1 
140 211 1 
140 215 1 
140 66 1 
140 90 1 
140 33 1 
140 130 1 
140 202 1 
140 192 1 
140 13 1 
174 6 1 
174 50 1 
174 39 1 
174 7 1 
174 36 1 
174 191 1 
174 198 1 
174 212 1 
174 87 1 
174 32 1 
174 213 1 
174 137 1 
227 203 1 
227 21 1 
227 244 1 
227 23 1 
227 105 1 
227 15 1 
230 179 1 
230 40 1 
230 224 1 
230 137 1 
230 196 1 
230 238 1 
17 233 1 
17 190 1 
17 93 1 
17 75 1 
17 103 1 
17 42 1 
17 127 1 
17 87 1 
17 186 1 
17 143 1 
17 3 1 
17 44 1 
32 26 1 
32 150 1 
32 100 1 
32 217 1 
32 30 1 
32 178 1 
32 130 1 
32 156 1 
32 109 1 
32 0 1 
32 105 1 
32 28 1 
