635 1761 
368 229 7872 
368 134 4018 
368 344 8271 
368 607 8752 
368 54 4850 
577 168 1248 
577 289 7443 
577 352 5163 
577 233 4351 
577 446 6231 
577 452 4297 
577 386 8113 
577 608 333 
199 564 2055 
199 284 6638 
199 159 8608 
199 296 7217 
560 597 7654 
560 85 4594 
560 167 7173 
560 127 39 
560 459 4958 
560 148 8914 
476 133 9455 
476 185 8256 
476 620 4819 
94 64 2853 
94 143 3822 
94 394 3111 
94 492 8057 
435 481 8000 
435 120 6590 
435 297 6867 
435 129 7255 
412 88 774 
412 473 5875 
412 108 4527 
412 52 4907 
412 568 2111 
132 435 9708 
132 588 7293 
132 555 6842 
132 213 9141 
132 556 9318 
132 237 6697 
132 256 728 
132 43 1803 
430 618 9146 
430 523 3299 
430 142 5260 
430 44 4859 
430 126 1938 
430 259 9446 
430 91 4349 
430 605 3096 
430 553 6808 
240 120 359 
349 494 8440 
349 107 247 
349 489 3240 
200 587 328 
200 494 7757 
200 456 8980 
200 346 6383 
200 195 4559 
200 460 4565 
200 451 8936 
362 120 927 
362 3 1053 
362 519 8772 
362 2 1100 
362 546 6086 
597 384 8266 
597 298 3350 
597 226 214 
34 140 6999 
34 252 9523 
34 58 3723 
34 64 2606 
536 249 3481 
536 486 358 
536 274 5104 
529 304 4498 
529 502 6833 
529 442 2417 
529 568 8614 
318 409 5379 
318 24 3051 
318 59 6171 
318 454 8826 
318 18 1870 
541 395 5400 
541 282 5493 
541 433 4932 
541 480 1372 
541 553 3052 
400 198 3111 
400 323 6673 
400 177 7910 
257 204 7504 
257 474 779 
257 36 1774 
257 147 1638 
257 59 5900 
257 469 3269 
257 302 6291 
57 265 2431 
57 100 3748 
57 114 8299 
140 587 9561 
140 631 1001 
140 28 6533 
140 106 6050 
140 59 5699 
78 219 6697 
78 431 6388 
78 487 5669 
78 249 7447 
63 291 3099 
63 289 9600 
63 266 1189 
395 273 9579 
395 114 2052 
588 343 2058 
588 105 994 
588 460 285 
588 322 5018 
588 359 3892 
588 344 8364 
19 75 5385 
19 507 8994 
190 162 7719 
190 599 5699 
190 92 9953 
190 563 743 
190 18 4063 
190 1 7676 
409 395 9602 
409 632 1413 
409 491 1342 
409 25 2198 
263 609 3655 
263 280 2373 
582 470 2947 
221 429 4908 
221 335 7295 
221 314 298 
204 328 1977 
204 556 4070 
587 93 8885 
587 226 3915 
587 220 1474 
291 55 5712 
291 170 6104 
291 214 1127 
291 76 6249 
291 157 7249 
544 523 7056 
544 565 8295 
544 52 4304 
544 90 3216 
100 357 5108 
100 617 9472 
95 458 7993 
95 165 5227 
95 231 4937 
95 520 7965 
95 311 6207 
95 91 8559 
328 245 5693 
328 157 3533 
328 169 9773 
328 493 5776 
328 82 8906 
104 464 3066 
104 462 6943 
104 144 8434 
527 571 4472 
527 20 2760 
527 212 9888 
527 262 924 
355 618 1797 
355 484 5093 
152 147 7912 
466 218 931 
466 606 6949 
466 160 5297 
466 277 3594 
555 530 6251 
555 472 6412 
555 48 3023 
600 181 2356 
600 257 5907 
600 254 7018 
600 169 8200 
600 562 3747 
516 391 6761 
516 374 3985 
418 438 4626 
418 462 508 
418 370 9896 
418 287 8883 
458 118 9342 
458 23 6573 
596 599 7405 
596 322 3079 
596 325 8789 
596 9 1502 
596 372 6576 
596 569 5023 
528 572 9139 
528 266 3071 
528 611 5254 
528 260 8124 
438 243 6417 
438 305 5655 
438 76 3576 
618 225 6155 
618 241 4636 
168 426 7553 
168 83 5057 
168 236 9712 
424 100 2025 
424 505 994 
424 602 3625 
424 592 9261 
424 239 3108 
424 102 1769 
567 604 3035 
567 579 1497 
567 268 1213 
567 581 7641 
567 569 1177 
567 334 784 
55 532 5976 
55 472 6931 
55 299 2302 
55 417 4615 
55 203 1132 
426 597 2552 
426 39 479 
426 289 9826 
426 118 3877 
426 12 7681 
505 75 4238 
505 518 149 
505 156 7022 
505 556 7982 
505 6 5979 
282 36 3511 
282 494 9281 
282 563 1724 
343 124 2625 
343 353 1022 
343 389 4960 
343 136 8892 
343 455 3832 
532 22 2552 
532 388 5375 
532 23 1324 
532 561 7850 
532 377 9188 
523 135 1804 
523 341 1675 
523 557 9303 
523 296 182 
70 264 979 
70 217 6826 
85 228 737 
85 421 3960 
85 486 636 
85 387 2893 
474 245 1022 
474 403 4654 
474 550 4931 
474 23 8115 
474 129 5155 
167 432 1632 
167 253 1976 
167 269 -23 
167 79 6797 
4 481 7799 
4 339 1362 
4 18 5243 
4 513 8394 
350 363 2736 
350 171 8938 
632 99 978 
632 254 2379 
632 592 9275 
632 386 236 
632 557 2092 
433 447 957 
433 180 3044 
433 378 6543 
193 49 1924 
193 526 4900 
484 461 5773 
484 364 3109 
484 244 8293 
609 23 5796 
117 141 4168 
117 448 8026 
117 542 5406 
565 251 5908 
565 463 1845 
93 440 9857 
481 464 7850 
481 610 4250 
481 244 5575 
481 232 9697 
432 39 4413 
432 539 8841 
432 44 5463 
432 490 613 
330 449 4544 
330 522 9858 
330 302 2334 
330 531 6484 
330 307 1596 
330 441 8521 
479 7 8973 
479 164 3954 
479 617 4962 
479 477 6071 
245 537 8926 
245 138 2333 
245 53 7109 
245 198 8295 
245 129 1227 
139 396 9438 
139 266 2078 
139 322 2220 
139 455 7065 
36 162 997 
36 33 8858 
36 41 5317 
39 545 757 
39 239 9483 
39 559 6317 
39 1 1120 
234 634 4616 
234 80 1163 
234 300 1389 
234 227 3104 
234 480 7646 
234 594 857 
622 549 9558 
622 535 5414 
622 248 3754 
622 417 6301 
622 483 2915 
461 520 6431 
461 249 442 
124 392 509 
124 319 1665 
604 528 4097 
604 256 2238 
219 31 1025 
219 619 907 
219 194 2830 
219 372 1880 
149 158 9356 
149 627 3427 
149 161 7392 
22 390 8153 
22 551 7832 
22 233 6550 
22 269 905 
22 183 174 
162 396 8561 
162 316 7583 
545 32 8587 
545 338 5514 
545 246 3898 
364 510 966 
364 64 9956 
364 465 6838 
364 14 8099 
364 262 4914 
141 63 3559 
141 54 8104 
7 239 7697 
7 135 3408 
7 235 469 
475 172 3506 
475 342 7288 
475 148 7934 
629 89 8483 
629 612 7742 
629 277 6439 
448 613 3406 
448 123 636 
448 119 3062 
363 37 5364 
127 131 8215 
570 5 8925 
570 110 3620 
324 205 3847 
324 356 2659 
108 19 9918 
108 579 8496 
108 246 7330 
108 281 3043 
464 614 3110 
464 179 7407 
464 91 9107 
252 210 2556 
252 118 2033 
252 317 2054 
252 5 5495 
73 497 2848 
13 299 3521 
75 15 8836 
75 269 9761 
75 503 3828 
20 346 7401 
20 106 7024 
20 261 6873 
494 606 8036 
128 351 8070 
128 113 5894 
128 114 1914 
614 500 4842 
614 583 1417 
614 21 7800 
614 592 5524 
614 367 123 
614 184 7416 
68 448 5398 
68 205 585 
68 273 9804 
68 585 3264 
68 316 3752 
500 515 389 
500 171 942 
506 222 7074 
506 514 7502 
506 43 4955 
506 543 5106 
165 621 8854 
165 391 4018 
165 463 8735 
77 606 9190 
77 301 3478 
174 537 910 
174 185 1969 
174 171 9211 
539 303 9402 
539 443 7025 
537 392 6953 
537 170 980 
142 470 1848 
142 556 2036 
142 50 3916 
142 372 2452 
138 623 362 
138 40 9881 
138 554 3773 
138 575 7847 
138 437 6956 
138 408 6370 
138 308 469 
53 319 8294 
53 462 1545 
53 498 4564 
53 27 6281 
53 345 4573 
179 115 5357 
179 485 4357 
179 615 5888 
179 131 6622 
179 427 4645 
15 224 8883 
15 508 7188 
15 16 8983 
15 178 4155 
15 511 9367 
15 312 9247 
133 588 8519 
133 469 752 
133 214 6993 
99 242 6642 
99 478 2302 
99 283 233 
99 166 9770 
99 216 1878 
99 521 9819 
456 572 6372 
456 269 8449 
115 31 4862 
485 420 2806 
485 208 9049 
583 554 7776 
583 3 4649 
583 144 8264 
615 353 9572 
615 213 4219 
615 543 8550 
264 399 897 
264 135 4540 
264 309 2869 
264 441 4238 
264 385 5155 
172 301 6903 
172 584 5396 
172 605 9077 
105 623 2875 
105 442 554 
254 457 3804 
254 309 9649 
254 26 6257 
206 139 -10 
206 306 7387 
206 534 4640 
206 451 8340 
185 518 27 
185 605 7445 
602 253 5176 
602 534 8005 
242 315 3498 
242 279 8502 
242 14 3001 
631 581 3139 
210 245 1288 
210 238 7542 
210 375 4646 
210 589 1201 
210 489 9439 
218 614 8470 
218 392 7474 
218 396 6102 
218 173 6833 
218 451 9247 
393 18 8895 
393 574 1982 
478 204 8291 
478 243 -46 
478 292 8325 
478 547 3653 
478 580 5877 
478 366 7271 
478 542 5951 
515 460 8522 
515 472 5062 
515 285 7399 
515 358 5894 
515 603 7804 
339 522 2575 
339 233 269 
339 183 3586 
198 592 1250 
198 352 9834 
198 72 719 
198 0 213 
198 489 8180 
289 236 3092 
289 222 3086 
289 336 3563 
634 430 9846 
634 494 3876 
634 357 6022 
634 74 7589 
634 482 6923 
346 83 3610 
346 72 3022 
346 311 8602 
346 268 5581 
346 97 4081 
31 418 4674 
31 382 4838 
31 487 2169 
353 71 7232 
619 273 5961 
619 32 917 
205 575 18 
205 552 6127 
205 398 181 
205 367 4510 
158 126 426 
80 35 4906 
80 375 341 
80 187 5716 
623 136 8000 
623 422 6236 
623 408 6085 
623 112 7836 
189 320 3633 
189 340 9887 
189 235 8814 
298 416 3562 
195 590 8041 
195 184 9662 
40 333 6612 
40 47 3056 
40 510 5082 
120 397 6888 
120 411 7866 
120 387 1185 
120 546 7274 
243 198 3931 
243 576 2767 
243 290 5810 
606 575 6973 
606 419 3552 
606 60 149 
606 2 5859 
24 501 2458 
388 101 6747 
388 272 3078 
392 369 3942 
392 43 1655 
392 69 7070 
449 617 6603 
449 492 7401 
21 173 8501 
21 630 9216 
21 151 4286 
305 277 9487 
305 247 4028 
508 382 5062 
508 42 10 
592 510 1615 
592 453 4366 
396 502 7878 
522 504 4586 
522 163 5484 
522 71 3853 
522 557 555 
333 365 6699 
333 401 2050 
406 625 7723 
406 145 1435 
406 590 2277 
47 607 8919 
292 369 1091 
292 58 628 
292 14 5265 
292 601 9276 
49 188 3263 
160 602 3352 
160 327 2224 
160 262 6140 
160 489 5490 
147 262 3030 
352 382 8939 
239 319 89 
239 586 8327 
239 519 6925 
239 103 697 
572 273 4487 
390 101 7777 
390 511 3523 
28 130 2978 
273 552 7955 
273 3 6428 
286 575 8972 
286 552 9229 
286 170 2467 
286 387 5620 
403 225 6788 
403 447 8686 
403 408 3680 
403 41 3092 
551 534 1597 
551 405 5237 
554 370 4807 
554 431 5367 
554 511 8531 
575 445 3034 
575 471 5672 
575 496 1365 
369 100 5957 
369 402 3456 
369 184 5847 
552 625 5340 
552 270 7166 
552 377 2653 
552 241 8120 
52 332 8711 
266 460 5078 
266 258 9661 
266 25 4617 
266 468 5285 
266 492 3375 
319 382 7506 
502 315 3956 
502 428 8250 
502 620 5288 
460 360 5181 
460 345 2771 
460 187 818 
460 374 2430 
470 431 9700 
389 577 4559 
389 337 7209 
389 230 4732 
510 508 1771 
510 504 5759 
118 116 4984 
118 125 4112 
118 503 3342 
419 58 1357 
106 533 9915 
106 110 9875 
462 631 5005 
462 27 1998 
457 415 1134 
457 159 1459 
621 186 7456 
621 327 9214 
621 178 3615 
621 146 8748 
621 275 -45 
621 558 266 
621 440 4630 
530 526 2061 
530 620 2024 
56 116 1631 
56 192 9986 
547 501 7614 
547 413 1439 
391 261 2884 
391 134 2574 
391 581 4393 
315 566 9036 
315 376 7745 
315 421 8399 
315 110 6628 
365 267 6748 
365 306 1472 
365 280 4112 
173 526 7904 
173 336 5502 
173 335 7465 
354 331 2549 
625 147 9148 
625 398 1012 
625 402 6644 
625 69 885 
472 544 8703 
472 633 3664 
472 381 630 
472 463 8396 
580 420 5383 
580 512 7830 
580 247 6233 
83 163 7729 
225 567 381 
225 626 9992 
399 72 650 
236 183 818 
35 534 3229 
35 111 1983 
58 434 2196 
58 561 5282 
549 337 5502 
610 52 7384 
610 45 7759 
610 201 8890 
213 356 7103 
297 548 5835 
297 217 9291 
320 149 4296 
320 253 1587 
320 428 2684 
320 414 8059 
320 295 9112 
136 434 4735 
170 550 6813 
170 371 7041 
170 603 6591 
197 34 6548 
197 22 1233 
197 634 4191 
197 101 6705 
303 520 5768 
303 215 1672 
518 214 4043 
586 191 303 
586 308 4051 
64 229 3185 
64 287 7890 
233 181 4116 
233 225 3350 
233 29 1360 
233 367 4783 
59 125 1354 
59 401 446 
59 293 5856 
59 202 4851 
59 247 3657 
253 39 5026 
253 222 7235 
270 588 4158 
270 53 9813 
270 18 9023 
270 385 435 
633 378 7353 
633 207 8694 
559 496 6059 
559 26 2372 
559 42 4946 
269 360 6164 
504 585 5740 
72 212 8025 
72 593 7360 
72 146 4167 
72 411 4544 
32 498 1785 
32 453 6484 
135 8 1791 
135 153 1520 
135 483 1876 
469 301 3074 
469 591 8826 
428 585 2277 
428 517 7362 
428 196 8161 
29 261 1438 
29 123 3833 
283 564 8931 
283 300 7275 
283 313 1874 
283 348 955 
299 481 5599 
299 149 6680 
299 128 3225 
299 261 6744 
429 119 676 
429 295 9073 
285 441 4340 
550 210 2797 
550 573 2464 
550 143 8292 
550 483 2047 
550 538 8099 
44 430 8731 
44 226 8895 
44 327 3202 
44 50 5294 
102 415 3653 
465 259 8228 
231 606 8913 
231 317 9542 
231 347 9829 
156 262 919 
156 48 56 
556 119 437 
520 194 6370 
520 250 7415 
370 46 9081 
370 322 6963 
404 447 2024 
16 622 9469 
16 23 3548 
16 517 2631 
422 194 9967 
422 123 2418 
101 156 5631 
101 98 7297 
573 213 348 
573 272 6253 
573 447 6174 
566 468 3625 
566 216 176 
272 163 9937 
272 188 8481 
272 294 5314 
116 37 4458 
116 235 5956 
116 74 1813 
122 98 306 
122 493 950 
351 203 8818 
351 307 7905 
45 498 1072 
3 380 3933 
3 33 8623 
3 312 7540 
564 517 9764 
491 196 9989 
599 237 1006 
92 373 7664 
92 427 7262 
92 624 2353 
535 324 6911 
535 212 5776 
535 10 3823 
337 160 611 
337 246 6132 
337 326 5194 
337 183 1506 
431 73 7385 
431 301 5472 
431 146 2131 
431 423 8726 
447 591 419 
267 196 8662 
300 556 9309 
300 548 2979 
311 230 1261 
311 436 5041 
311 335 3780 
311 595 9220 
237 385 8298 
439 534 -53 
439 0 3378 
439 591 2005 
439 511 2499 
186 343 9733 
186 475 9910 
186 453 9283 
186 154 8424 
33 5 4208 
33 531 4593 
33 503 5104 
227 238 3346 
227 377 2831 
526 258 2789 
526 548 5955 
238 143 5113 
238 378 8588 
261 459 3777 
261 584 7008 
261 594 4953 
338 162 2467 
338 81 2493 
338 119 2928 
222 315 3820 
222 486 5937 
375 624 9910 
375 521 5855 
381 328 1442 
381 520 4270 
381 16 9746 
381 296 7638 
498 212 2106 
414 444 1677 
414 214 2550 
414 366 1661 
414 302 9235 
414 280 6108 
414 191 5925 
279 362 8533 
279 424 5287 
279 194 1477 
279 471 5173 
279 110 1169 
382 121 5097 
382 453 8611 
89 582 5195 
89 26 4541 
89 81 7719 
89 241 2987 
256 23 8388 
256 331 1571 
256 495 6923 
373 483 3272 
373 423 8708 
397 234 5880 
397 276 4108 
397 277 8983 
212 320 202 
212 519 3828 
212 471 2480 
258 49 9701 
258 241 5163 
301 186 7963 
301 480 7049 
301 468 7133 
301 90 903 
322 53 6994 
322 613 460 
322 496 5751 
487 153 9836 
336 31 1452 
336 157 241 
336 443 6426 
336 130 278 
214 60 -89 
214 624 679 
214 486 5272 
214 215 283 
214 416 760 
613 633 319 
613 5 3623 
613 501 6822 
226 359 3333 
445 442 869 
445 103 2007 
445 453 4685 
579 5 5143 
579 201 3460 
327 167 6237 
327 275 7944 
371 34 8825 
371 401 1094 
366 397 3682 
366 268 9307 
366 131 5 
317 114 384 
317 41 328 
325 109 5779 
325 284 4425 
325 260 2988 
437 158 1472 
437 524 5524 
437 288 1632 
125 440 2314 
125 177 1679 
229 435 2646 
229 585 7914 
229 421 7617 
229 425 23 
512 131 3750 
512 130 4427 
268 145 1338 
8 153 7174 
8 630 824 
627 248 2974 
627 624 7961 
627 513 6267 
358 463 8236 
358 241 1391 
306 450 6716 
306 342 9934 
626 59 -33 
626 235 1123 
626 490 9192 
248 129 9975 
248 114 9338 
415 360 9560 
415 344 9828 
585 44 9392 
585 163 7679 
585 578 8461 
178 302 9308 
408 67 7743 
408 361 7164 
408 540 6836 
180 375 1427 
180 255 6770 
180 334 7614 
60 626 8537 
60 569 4028 
50 235 460 
246 494 863 
246 66 443 
398 612 7166 
398 216 2381 
398 247 5948 
67 521 9527 
593 495 9916 
593 548 3697 
446 546 9266 
459 215 5246 
126 251 4282 
126 90 2131 
126 377 1300 
514 127 2030 
514 235 2473 
143 200 3571 
143 576 4306 
326 464 8933 
326 542 5453 
326 341 6649 
326 331 3212 
326 608 253 
542 467 3174 
542 202 3494 
576 18 6450 
5 230 9237 
5 109 2058 
357 578 5136 
417 361 8202 
417 334 8967 
454 341 5298 
454 220 7263 
434 340 12 
434 66 9268 
434 521 2584 
563 157 2005 
563 490 7893 
276 26 9222 
501 145 6819 
27 220 7557 
27 154 5343 
27 511 2810 
131 436 4844 
131 496 1602 
131 387 2513 
427 448 2733 
427 109 2594 
341 208 9602 
341 241 5815 
230 329 6966 
230 321 5393 
628 589 3902 
534 620 6948 
376 345 1236 
9 276 8460 
9 0 6492 
9 345 7879 
9 347 9072 
208 316 4275 
249 299 5883 
249 145 7766 
23 442 690 
23 425 241 
164 472 5071 
164 111 3167 
164 416 9883 
43 574 7603 
43 281 7395 
183 209 5768 
183 63 6666 
183 227 9321 
183 558 9984 
519 358 682 
519 601 8562 
37 509 9122 
450 263 9686 
450 440 9778 
194 598 9963 
194 292 7847 
194 581 7853 
309 157 1981 
309 280 1457 
309 97 7308 
359 236 6232 
359 14 7298 
359 517 1229 
359 154 1184 
436 329 6970 
436 232 9817 
612 516 1484 
612 147 7383 
612 241 8043 
421 533 9479 
421 452 4516 
203 42 8565 
471 456 6776 
471 192 2843 
471 569 8232 
471 611 6177 
401 413 8436 
401 342 5722 
76 25 176 
331 442 5717 
331 402 5541 
331 385 3388 
259 630 389 
259 503 2501 
620 464 9795 
620 62 3652 
620 81 4640 
496 442 628 
302 150 7432 
302 557 6229 
129 487 9427 
129 558 4618 
14 187 9922 
561 538 4382 
244 583 4287 
244 630 3661 
313 98 6746 
123 367 852 
624 215 8543 
293 69 948 
360 358 3857 
360 486 4179 
360 335 6129 
25 497 1714 
25 1 9737 
25 463 3764 
25 154 5638 
25 12 5897 
372 10 9531 
617 200 2973 
617 153 3158 
617 347 2505 
531 591 5571 
452 463 8339 
452 74 5333 
113 192 2737 
113 169 4187 
113 275 6094 
113 220 5465 
251 217 8763 
340 123 1575 
340 568 2925 
340 211 1878 
157 321 405 
112 405 5651 
112 54 1422 
290 634 6709 
290 569 6259 
192 47 2340 
192 134 6193 
171 161 2090 
307 308 5845 
584 123 9231 
584 82 7727 
163 354 8173 
163 166 4928 
169 197 3353 
169 468 3992 
134 335 3363 
134 557 5647 
441 282 8868 
441 553 4541 
486 30 5820 
486 411 4746 
379 68 145 
379 248 5828 
379 408 4977 
379 595 9382 
497 423 5287 
146 260 3373 
581 75 19 
581 121 5834 
581 356 6769 
98 455 2234 
109 329 6252 
543 130 6607 
543 321 7568 
0 54 3065 
335 475 4975 
335 21 9090 
335 161 2839 
262 385 5148 
443 19 6992 
443 424 8856 
443 71 8948 
18 588 6657 
18 166 969 
18 247 7995 
130 45 7226 
130 591 6979 
130 184 4959 
166 477 9911 
166 345 6290 
275 135 1569 
275 411 8158 
275 296 6528 
6 597 368 
6 334 1567 
284 485 6846 
284 81 846 
284 562 1424 
480 610 6128 
480 274 379 
578 466 9137 
578 564 3077 
578 327 3156 
578 486 8420 
578 493 -51 
61 616 3194 
61 378 4697 
477 216 3856 
1 202 3857 
1 489 9055 
201 110 2016 
509 377 8280 
159 110 8462 
442 513 4727 
442 66 9217 
442 308 5791 
405 474 5340 
405 323 6330 
345 74 549 
26 410 2591 
26 547 6994 
26 180 2282 
26 595 4647 
589 297 7673 
589 62 4732 
589 71 5174 
394 2 9579 
394 82 5448 
394 495 5241 
62 182 397 
62 403 2866 
62 441 3263 
62 107 7933 
62 220 1554 
455 153 3971 
595 575 9770 
595 43 9386 
595 411 8173 
103 91 8455 
153 604 4299 
153 217 6402 
2 167 8438 
2 361 304 
361 452 8359 
361 235 4484 
603 185 8134 
603 496 6525 
603 387 1794 
386 591 1341 
386 342 3766 
348 517 6916 
348 356 833 
591 215 4248 
591 295 8218 
591 492 7540 
145 280 7051 
344 223 1453 
344 186 7345 
344 274 6770 
202 39 2344 
202 517 8594 
607 536 6033 
607 314 7286 
524 574 8261 
468 347 701 
468 558 2980 
468 416 2139 
493 503 731 
367 76 3331 
367 97 665 
121 546 385 
121 490 5420 
540 393 4394 
540 573 6150 
540 148 9327 
81 452 1156 
81 591 22 
81 553 2118 
107 188 9169 
90 63 2930 
90 596 2000 
90 520 5483 
90 342 5385 
489 413 3262 
411 463 5738 
42 601 6643 
42 538 4039 
10 216 7060 
574 198 7126 
574 492 2525 
277 82 7341 
277 71 9972 
277 294 1792 
187 181 5709 
187 154 4960 
347 594 1288 
347 553 4658 
250 292 9746 
250 215 9658 
402 323 3600 
402 511 -6 
235 404 727 
235 340 7109 
235 594 472 
235 232 4642 
558 325 41 
558 548 1225 
281 79 7934 
161 512 5578 
161 345 4386 
161 82 8148 
161 517 6319 
630 548 2444 
316 533 3345 
316 151 1576 
483 314 4174 
483 329 5349 
82 608 1580 
91 405 3151 
91 374 7027 
413 619 7748 
413 513 3667 
413 119 1256 
495 37 4761 
495 546 3925 
387 515 9565 
387 308 2384 
453 339 6067 
453 354 5154 
453 513 8606 
54 287 8204 
110 132 422 
110 312 9488 
71 392 7452 
71 113 4766 
71 374 2594 
215 423 6386 
423 30 8145 
423 417 6189 
423 540 1759 
423 451 2520 
463 66 6373 
463 288 446 
463 416 4381 
513 548 2195 
377 220 1734 
377 69 6277 
377 521 1358 
605 342 1098 
114 312 883 
255 289 6892 
255 451 5446 
601 177 5365 
601 451 2876 
569 183 7974 
569 79 7049 
314 342 5760 
342 451 9492 
568 390 7117 
568 74 6461 
440 553 9365 
280 507 5334 
280 247 2283 
119 448 6910 
119 260 2595 
332 151 2074 
507 497 2982 
507 148 237 
590 492 8008 
562 225 8726 
562 114 2345 
562 451 2411 
144 188 9775 
517 416 8837 
41 288 6500 
220 497 5855 
220 151 8556 
191 148 4248 
191 482 341 
188 629 9608 
188 511 224 
216 20 3722 
216 374 1059 
154 123 5928 
154 425 6254 
323 247 9836 
323 79 9212 
356 39 8027 
356 482 633 
97 431 2584 
97 260 48 
538 196 9716 
177 334 7460 
66 296 2457 
74 521 4483 
148 616 9155 
546 511 7883 
546 503 2227 
184 216 2037 
184 608 7719 
511 528 4254 
511 308 6539 
329 79 4312 
334 385 1054 
288 179 6207 
288 308 3916 
69 325 6103 
69 125 9040 
69 308 8519 
48 520 6969 
48 594 6771 
616 321 7673 
241 260 8975 
295 207 2935 
247 1 801 
247 455 6297 
247 111 9449 
594 321 136 
12 492 9393 
548 193 7257 
548 1 7008 
548 308 1599 
378 67 8476 
378 455 2795 
378 416 2656 
374 210 9312 
374 277 1437 
374 79 1624 
608 232 3559 
79 294 8800 
451 296 9532 
490 551 4111 
490 151 1896 
385 55 2202 
385 434 4659 
385 103 8602 
385 111 5334 
312 553 7268 
557 287 6548 
482 389 4079 
482 425 2399 
232 303 3242 
232 212 3276 
232 287 4233 
294 521 3042 
308 416 406 
287 510 8924 
287 164 3341 
287 425 9572 
196 207 5738 
296 521 1155 
611 503 482 
207 441 9432 
207 274 1475 
321 217 1084 
553 34 1980 
553 563 7376 
553 260 525 
274 260 2949 
111 432 6689 
111 217 9837 
492 260 4555 
217 515 924 
217 260 4600 
151 193 3623 
151 260 5898 
260 571 9127 
260 503 3470 
503 602 4003 
503 425 2672 
425 416 1966 
416 256 5953 
416 521 6844 
521 211 2334 
211 603 2662 
